Theta[deg],Phi[deg],dB(NearEPhi),ang_deg(NearEPhi)[deg],dB(NearETheta),ang_deg(NearETheta)[deg]
50,-150,65.3049,154.598,68.1282,169.354
55,-150,66.0735,152.638,69.8302,172.034
60,-150,65.6587,156.704,70.5862,-179.95
65,-150,64.1241,162.206,70.5668,-170.048
70,-150,61.592,165.603,69.9646,-160.467
75,-150,58.2098,162.375,68.9465,-153.067
80,-150,54.5853,145.439,67.6597,-149.635
85,-150,52.8244,112.631,66.2516,-151.815
90,-150,53.7514,81.1024,64.8979,-160.77
0,-145,59.0307,27.6787,58.8662,37.3503
5,-145,62.9639,7.36597,62.0179,13.6332
10,-145,63.1145,-7.03337,62.0575,-4.64188
15,-145,60.3062,-33.4176,59.9406,-36.6823
20,-145,59.5008,-91.028,60.8213,-88.0426
25,-145,63.4946,-125.209,64.4405,-115.12
30,-145,65.6275,-136.965,66.3447,-125.791
35,-145,65.6419,-144.406,66.4144,-133.946
40,-145,64.1479,-155.626,65.3675,-147.943
45,-145,62.4296,-176.137,65.066,-170.929
50,-145,62.2566,160.747,66.7011,170.859
55,-145,62.8813,147.481,68.5942,165.288
60,-145,62.8754,142.108,69.7663,167.255
65,-145,61.9298,138.813,70.1756,172.248
70,-145,60.2233,132.933,69.9721,177.61
75,-145,58.2642,120.606,69.3123,-178.49
80,-145,56.9572,101.06,68.3371,-177.521
85,-145,56.828,79.4929,67.1797,179.331
90,-145,57.3132,60.2402,65.9759,171.319
0,-140,58.2306,26.7761,59.5656,36.5615
5,-140,62.0759,7.58473,62.6793,14.0575
10,-140,62.5127,-5.528,62.9737,-2.49281
15,-140,60.2214,-26.1277,61.06,-28.4163
20,-140,57.8325,-74.5706,60.5204,-76.3056
25,-140,60.99,-119.06,63.8534,-110.514
30,-140,63.7723,-135.584,66.3105,-124.168
35,-140,64.5771,-143.575,67.056,-131.734
40,-140,63.8303,-151.227,66.4711,-140.68
45,-140,62.067,-163.196,65.3879,-156.348
50,-140,60.22,178.005,65.3471,-177.466
55,-140,59.2515,156.646,66.6471,167.179
60,-140,58.8327,139.22,68.0122,160.988
65,-140,58.1922,124.763,68.817,160.059
70,-140,57.2723,108.946,69.022,160.988
75,-140,56.6198,89.6085,68.7323,161.634
80,-140,56.7183,69.2984,68.0673,160.571
85,-140,57.3173,51.533,67.1367,156.827
90,-140,57.8866,36.2836,66.0392,149.85
0,-135,57.2787,25.6717,60.1527,35.8812
5,-135,61.0055,7.76973,63.1831,14.6812
10,-135,61.7183,-4.13186,63.7277,-0.327838
15,-135,60.037,-20.0729,62.1994,-20.9031
20,-135,56.946,-55.0322,60.5451,-60.5995
25,-135,57.8891,-106.41,62.7915,-101.721
30,-135,61.068,-131.779,65.6628,-120.731
35,-135,62.6899,-142.711,67.1037,-129.658
40,-135,62.8157,-149.814,67.235,-136.419
45,-135,61.8092,-157.203,66.4385,-145.441
50,-135,59.9957,-167.15,65.3887,-159.694
55,-135,57.7094,178.973,65.0547,-177.649
60,-135,55.2347,160.549,65.6506,167.435
65,-135,52.7794,136.279,66.4452,158.537
70,-135,51.0469,103.568,66.9183,153.73
75,-135,51.3753,68.0122,66.9474,150.561
80,-135,53.1227,41.6794,66.566,147.333
85,-135,54.7666,24.1294,65.8432,143.008
90,-135,55.8225,10.5215,64.8468,137.06
0,-130,56.1391,24.2665,60.6413,35.2802
5,-130,59.7116,7.84827,63.5423,15.4903
10,-130,60.6742,-2.91728,64.3152,1.84717
15,-130,59.6152,-15.3328,63.2648,-14.4418
20,-130,56.8427,-37.8813,61.2213,-43.6335
25,-130,54.9431,-82.5595,61.5481,-86.0924
30,-130,57.2565,-121.786,64.3055,-113.467
35,-130,59.6061,-139.786,66.3699,-126.213
40,-130,60.6232,-149.329,67.2562,-133.448
45,-130,60.5377,-156.303,67.1767,-139.667
50,-130,59.605,-162.837,66.4257,-147.415
55,-130,57.9749,-169.739,65.401,-158.228
60,-130,55.6476,-177.269,64.5925,-171.784
65,-130,52.3633,174.177,64.2737,174.604
70,-130,47.2449,162.183,64.2637,163.507
75,-130,37.2013,121.823,64.2249,155.265
80,-130,41.5007,11.2289,63.9558,148.905
85,-130,47.4557,-9.01788,63.3961,143.419
90,-130,50.1521,-20.104,62.5594,138.195
0,-125,54.758,22.3881,61.0418,34.7377
5,-125,58.1338,7.69188,63.7652,16.4809
10,-125,59.3042,-1.98568,64.7274,4.05132
15,-125,58.8207,-11.8319,64.166,-9.00471
20,-125,56.8558,-26.0354,62.406,-29.0069
25,-125,53.8996,-52.6035,61.0057,-62.9968
30,-125,52.7935,-95.8406,62.3722,-98.3633
35,-125,54.7812,-129.081,64.6872,-118.59
40,-125,56.6102,-146.356,66.247,-129.145
45,-125,57.4522,-156.791,66.9205,-135.832
50,-125,57.4712,-164.567,66.8825,-141.486
55,-125,56.8443,-171.111,66.3329,-147.567
60,-125,55.6675,-176.816,65.4803,-154.86
65,-125,53.9433,178.377,64.5352,-163.486
70,-125,51.5762,174.804,63.6615,-172.867
75,-125,48.3439,173.329,62.9164,177.956
80,-125,43.8074,176.833,62.2551,169.746
85,-125,37.5231,-161.8,61.6018,162.77
90,-125,35.5345,-103.391,60.9133,156.924
0,-120,53.051,19.7072,61.3618,34.2383
5,-120,56.1779,7.04843,63.8563,17.6577
10,-120,57.4968,-1.52886,64.9526,6.32769
15,-120,57.5033,-9.51912,64.8324,-4.37965
20,-120,56.3797,-18.8817,63.6553,-18.0515
25,-120,54.1971,-32.2186,61.8653,-39.5546
30,-120,51.2252,-54.5807,60.9772,-71.2183
35,-120,49.0327,-91.0775,62.1842,-100.738
40,-120,49.5902,-128.252,63.9867,-118.861
45,-120,51.1227,-152.109,65.2828,-129.421
50,-120,52.1691,-167.373,65.937,-136.431
55,-120,52.6005,-178.665,66.0552,-142.009
60,-120,52.5175,172.064,65.7682,-147.208
65,-120,52.0068,163.973,65.1993,-152.576
70,-120,51.1171,156.586,64.4576,-158.337
75,-120,49.8779,149.468,63.633,-164.487
80,-120,48.3188,142.088,62.7896,-170.889
85,-120,46.4894,133.696,61.9651,-177.387
90,-120,44.4835,123.175,61.1765,176.093
0,-115,50.8777,15.5142,61.6071,33.7705
5,-115,53.6841,5.35338,63.8178,19.0334
10,-115,55.0706,-1.99718,64.9772,8.7439
15,-115,55.4541,-8.58718,65.2109,-0.279379
20,-115,55.0243,-15.2664,64.6266,-10.0742
