Theta[deg],Phi[deg],dB(NearEPhi),ang_deg(NearEPhi)[deg],dB(NearETheta),ang_deg(NearETheta)[deg]
90,-40,47.9617,62.8323,48.4396,-124.661
0,-35,61.0418,-145.262,54.758,22.3881
5,-35,56.1704,-83.4862,48.0284,110.912
10,-35,59.9735,-23.0395,55.6134,164.676
15,-35,61.8793,-0.157677,57.4709,179.367
20,-35,60.0933,18.6853,54.8422,-166.612
25,-35,53.9191,55.4204,44.8328,-121.838
30,-35,53.1586,153.276,50.8073,-3.38413
35,-35,58.0541,-168.552,55.5471,17.8924
40,-35,58.8562,-148.486,55.7055,32.8609
45,-35,56.6371,-129.014,52.2785,50.211
50,-35,51.0278,-98.8514,42.5509,95.6583
55,-35,45.9013,-14.1213,47.02,-145.074
60,-35,50.93,41.7312,52.3149,-120.925
65,-35,53.2583,62.2832,53.8439,-106.978
70,-35,53.6591,74.7674,53.5837,-96.2399
75,-35,53.1311,83.1595,52.2521,-88.3583
80,-35,52.264,88.2845,50.3196,-84.3123
85,-35,51.4293,90.5247,48.2381,-85.8771
90,-35,50.7873,90.42,46.4779,-94.8377
0,-30,61.3618,-145.762,53.051,19.7072
5,-30,56.4721,-77.576,46.4047,121.864
10,-30,60.853,-18.9,54.7044,168.325
15,-30,62.2984,3.44338,55.9809,-178.094
20,-30,59.4907,25.1309,51.9396,-162.39
25,-30,51.9822,85.3767,40.5137,-59.1977
30,-30,56.5301,174.87,52.3661,9.77103
35,-30,59.7191,-157.101,55.0658,27.1024
40,-30,58.8273,-135.751,53.3373,43.9037
45,-30,54.0559,-106.562,45.7295,74.1658
50,-30,47.7473,-21.1522,45.0157,-148.823
55,-30,53.4549,45.9317,52.2618,-116.699
60,-30,55.9869,70.8209,54.2274,-98.5769
65,-30,56.0364,88.3619,53.7984,-82.1736
70,-30,54.6843,102.885,51.7575,-65.7161
75,-30,52.6262,114.883,48.5359,-48.0789
80,-30,50.5311,123.448,44.7885,-29.1427
85,-30,49.0206,127.008,41.4327,-14.7413
90,-30,48.4187,125.006,38.7037,-18.6152
0,-25,61.6071,-146.23,50.8777,15.5142
5,-25,56.7645,-72.4204,44.4046,134.111
10,-25,61.5441,-15.6623,53.3255,171.587
15,-25,62.5366,6.55928,54.0261,-176.285
20,-25,58.6774,31.9516,48.2562,-159.295
25,-25,52.1179,120.342,42.9728,-11.9482
30,-25,58.7677,-172.931,52.4067,18.831
35,-25,60.4808,-147.65,53.5283,35.0556
40,-25,57.8503,-122.251,49.5082,54.9729
45,-25,50.3188,-65.6478,36.9906,161.103
50,-25,53.4461,35.6854,49.9571,-119.484
55,-25,57.42,70.0314,53.5153,-97.446
60,-25,57.8199,93.3516,53.5751,-76.9249
65,-25,56.015,115.577,51.2612,-52.9944
70,-25,52.6331,140.462,47.1203,-17.3122
75,-25,48.6629,171.638,44.6663,38.8174
80,-25,45.9559,-155.932,46.109,77.5599
85,-25,44.479,-139.077,46.7752,90.2467
90,-25,42.7914,-144.339,45.7373,87.5013
0,-20,61.7815,-146.675,47.9966,7.99618
5,-20,57.0211,-68.0977,41.8432,150.459
10,-20,62.0684,-13.13,51.3236,174.847
15,-20,62.6441,9.21861,51.4543,-175.553
20,-20,57.7622,39.0689,43.3869,-159.856
25,-20,53.858,145.54,44.4043,8.81637
30,-20,60.1759,-164.627,51.2997,26.3301
35,-20,60.6614,-139.374,51.019,41.7211
40,-20,56.1817,-106.771,43.6351,65.6467
45,-20,50.6404,-5.46216,43.1001,-129.946
50,-20,57.3133,58.7739,51.152,-101.975
55,-20,59.2174,88.225,52.7625,-80.0612
60,-20,57.9288,115.834,51.12,-54.2467
65,-20,54.2288,151.212,46.7003,-11.9985
70,-20,50.4645,-151.391,45.4235,65.02
75,-20,51.3214,-97.1653,49.3099,109.247
80,-20,52.5225,-71.7194,51.3021,126.727
85,-20,52.2167,-61.5898,51.5635,131.486
90,-20,50.56,-60.4085,50.5819,125.537
0,-15,61.888,-147.107,44.0881,-8.6165
5,-15,57.2179,-64.6267,38.962,177.988
10,-15,62.4455,-11.1782,48.3466,178.919
15,-15,62.6652,11.407,47.8826,-176.911
20,-15,56.8677,46.1224,36.4683,-176.43
25,-15,55.5764,160.265,44.0393,24.4498
30,-15,61.0352,-158.522,49.0469,33.4732
35,-15,60.4994,-132.151,47.3712,46.2673
40,-15,54.2175,-88.2439,32.6199,68.2978
45,-15,54.1157,28.7422,45.2753,-106.71
50,-15,59.4041,73.4582,50.3576,-86.8878
55,-15,59.8696,104.044,50.5334,-64.0117
60,-15,57.0894,140.064,46.9972,-30.4522
65,-15,52.9307,-158.189,42.5241,51.1532
70,-15,54.4948,-88.6586,48.1551,119.249
75,-15,56.9429,-54.1542,51.7681,145.416
80,-15,57.5689,-36.1081,53.1499,158.686
85,-15,56.8555,-27.3546,53.1372,161.993
90,-15,55.2027,-25.4527,52.1552,154.589
0,-10,61.9282,-147.531,40.5297,-51.1012
5,-10,57.3352,-61.9924,38.2741,-138.69
10,-10,62.6913,-9.72741,43.4013,-173.044
15,-10,62.6372,13.0875,42.1576,175.149
20,-10,56.1107,52.3963,33.7593,114.828
25,-10,56.7883,168.867,42.3172,44.1018
30,-10,61.5323,-154.048,45.1637,42.4522
35,-10,60.1966,-126.207,41.774,45.497
40,-10,52.6079,-67.6301,31.0862,-59.4722
45,-10,56.5311,45.084,44.779,-85.9167
50,-10,60.5195,84.0474,47.9275,-71.5097
55,-10,59.949,117.508,46.7459,-49.9761
60,-10,56.1064,165.282,40.2718,-8.06054
65,-10,54.6309,-112.502,41.3019,114.929
70,-10,58.2898,-58.2175,48.459,153.925
75,-10,60.146,-29.5768,51.4856,174.018
80,-10,60.2656,-11.7216,52.579,-174.141
85,-10,59.2146,-1.91375,52.4585,-171.66
90,-10,57.3916,0.934255,51.503,179.508
0,-5,61.9025,-147.955,43.1116,-100.193
5,-5,57.3576,-60.169,41.1704,-104.748
10,-5,62.8173,-8.72662,33.2509,-125.952
15,-5,62.5891,14.2192,32.5127,108.05
20,-5,55.5754,56.925,39.303,85.4865
25,-5,57.4868,173.807,40.5055,77.3071
30,-5,61.7895,-151.025,37.7371,67.0039
35,-5,59.9253,-121.969,30.8307,7.39161
40,-5,51.8202,-50.2748,38.772,-54.8284
45,-5,57.843,53.8094,43.0855,-56.5449
50,-5,61.0831,91.1895,43.5546,-48.824
55,-5,59.8576,127.419,39.9609,-38.2827
60,-5,55.6244,-173.838,17.2935,-83.5151
65,-5,56.6708,-88.04,40.6759,178.804
70,-5,60.361,-41.5489,46.1982,-167.159
75,-5,61.8216,-13.6159,48.5166,-153.877
80,-5,61.6548,5.45965,49.2641,-145.28
85,-5,60.3734,16.8857,48.9722,-145.271
90,-5,58.3636,21.0858,47.9907,-157.004
0,0,61.8107,-148.384,47.2329,-120.638
5,0,57.2732,-59.1344,44.4334,-88.0478
10,0,62.83,-8.1432,40.8019,-30.1077
15,0,62.5398,14.7725,41.7102,35.8408
20,0,55.3047,58.8224,42.988,79.2391
25,0,57.7216,176.144,41.7698,116.882
30,0,61.8784,-149.404,37.3044,170.457
35,0,59.8099,-119.864,37.6247,-93.684
40,0,51.595,-42.3115,42.3208,-44.7464
45,0,58.3275,57.7601,43.1665,-16.0282
50,0,61.3174,94.7837,39.5862,10.0494
55,0,59.8531,132.24,23.5209,105.511
60,0,55.5673,-164.29,39.7899,-147.38
65,0,57.4782,-78.6739,44.4872,-124.777
70,0,61.0919,-33.8844,45.9015,-106.086
75,0,62.414,-5.57267,45.6813,-90.5144
80,0,62.1232,14.493,44.4205,-80.5271
85,0,60.7093,27.1382,42.3047,-80.5493
90,0,58.5694,32.6201,39.4637,-96.1947
0,5,61.6514,-148.827,50.3155,-129.405
5,5,57.0761,-58.8692,47.0524,-79.8185
10,5,62.7285,-7.93934,47.1481,-18.8082
15,5,62.492,14.7717,47.3697,25.6649
20,5,55.3182,57.7062,45.5975,75.736
25,5,57.5158,176.241,44.9266,138.777
30,5,61.8286,-149.173,45.1399,-165.711
35,5,59.9029,-120.104,44.1639,-106.967
40,5,51.5956,-46.1163,44.7557,-40.5411
45,5,58.0887,57.6565,45.9711,11.2466
50,5,61.3,94.7498,44.6455,58.5988
55,5,60.0284,131.237,41.7397,131.638
60,5,55.6825,-168.998,45.2072,-149.261
65,5,56.8631,-81.4273,48.8316,-105.335
70,5,60.6124,-34.4612,50.3625,-72.8295
75,5,62.0337,-5.70062,50.6016,-45.4479
80,5,61.7645,14.5183,50.0857,-24.5051
85,5,60.3137,27.4416,48.943,-13.5364
90,5,58.1073,33.6238,47.0856,-15.2181
0,10,61.422,-149.289,52.6192,-134.108
5,10,56.7536,-59.4118,49.1002,-75.7234
10,10,62.5137,-8.14365,50.7711,-15.8951
15,10,62.449,14.1711,50.8687,21.2524
20,10,55.6255,53.7472,47.7365,70.9464
25,10,56.8257,173.956,47.5206,146.538
30,10,61.6124,-150.288,49.364,-162.144
35,10,60.1712,-122.471,48.1506,-114.827
40,10,52.1242,-60.7638,46.5887,-44.9586
45,10,57.0281,53.2011,48.601,19.6661
50,10,60.9697,91.2325,49.2239,67.3922
55,10,60.3178,125.069,47.5517,123.064
60,10,56.2596,174.18,47.8971,-162.97
65,10,54.8563,-99.2593,51.1546,-107.576
70,10,58.7572,-43.8858,53.3473,-70.3856
75,10,60.5587,-13.8921,54.2833,-42.0459
80,10,60.4855,5.99784,54.3484,-21.9074
85,10,59.1107,18.5282,53.6858,-12.1942
90,10,56.8932,25.1182,52.318,-14.8568
0,15,61.1189,-149.78,54.4142,-137.039
5,15,56.3015,-60.7878,50.7176,-74.0798
10,15,62.1728,-8.72902,53.2171,-15.2752
15,15,62.3882,13.059,53.4228,17.9537
20,15,56.212,47.8437,49.7187,64.1351
25,15,55.5645,168.564,49.2402,146.414
30,15,61.1652,-152.722,52.0566,-163.434
35,15,60.5031,-126.533,51.2095,-122.885
40,15,53.6267,-80.4301,48.2559,-58.7407
45,15,54.8257,42.5381,50.1143,16.0163
50,15,60.1198,84.5041,52.0583,63.6824
55,15,60.4799,115.282,51.3269,109.042
60,15,57.465,152.317,49.906,170.455
65,15,52.8327,-141.079,51.7252,-126.012
70,15,54.9229,-66.2511,54.2934,-83.8859
75,15,57.4694,-30.168,55.7099,-55.427
80,15,57.8614,-9.4731,56.0823,-36.677
85,15,56.6997,3.22908,55.6115,-28.1456
90,15,54.4935,11.2253,54.4081,-31.1112
0,20,60.7367,-150.312,55.8583,-139.058
5,20,55.7153,-63.0664,52.0117,-74.162
10,20,61.6896,-9.70073,54.985,-15.8269
15,20,62.28,11.5011,55.4426,14.8287
20,20,57.0015,41.085,51.7057,55.7212
25,20,53.6022,157.969,50.2114,140.182
30,20,60.3657,-156.511,53.8133,-167.474
35,20,60.7277,-131.796,53.7122,-131.551
40,20,55.7209,-98.215,50.3493,-79.3319
45,20,50.9966,17.3848,50.5082,1.65798
50,20,58.3486,74.432,53.5366,53.3743
55,20,60.122,103.28,53.9735,92.4696
60,20,58.6366,131.523,52.4127,137.926
65,20,54.3896,168.282,51.6268,-162.857
70,20,49.6628,-125.407,53.468,-112.268
75,20,51.1926,-61.7045,55.2274,-80.7215
80,20,52.4815,-32.1959,55.9297,-62.088
85,20,51.7033,-15.4291,55.6645,-54.1664
90,20,49.4121,-1.60334,54.5798,-57.0392
0,25,60.2682,-150.899,57.0456,-140.549
5,25,54.9934,-66.3499,53.0597,-75.6315
10,25,61.041,-11.077,56.2867,-17.23
15,25,62.0845,9.56629,57.0952,11.5996
20,25,57.8629,34.345,53.7384,46.641
25,25,51.0406,136.772,50.6736,127.228
30,25,59.0199,-161.912,54.7886,-173.997
35,25,60.6376,-137.916,55.6838,-140.751
40,25,57.6173,-112.299,52.9994,-100.841
45,25,48.6981,-44.2541,50.3819,-26.9445
50,25,54.8337,58.8313,53.639,36.5037
55,25,58.695,89.6114,55.4362,74.0087
60,25,58.9135,112.929,54.9291,108.162
65,25,56.7897,135.512,53.127,148.963
70,25,52.6086,160.034,52.1879,-162.412
75,25,46.36,-168.355,53.0395,-122.797
80,25,38.9051,-118.193,53.8687,-99.9916
85,25,32.9543,-43.6042,53.8229,-90.6871
90,25,35.4029,47.2549,52.8431,-92.9457
0,30,59.7039,-151.559,58.0352,-141.709
5,30,54.1381,-70.7743,53.9217,-78.3194
10,30,60.1955,-12.8961,57.2249,-19.4081
15,30,61.7528,7.31447,58.4491,8.16198
20,30,58.6485,28.0813,55.7556,37.7602
25,30,49.6353,98.5337,51.187,106.393
30,30,56.8046,-169.853,54.958,176.271
35,30,59.9882,-144.79,57.02,-150.643
40,30,58.8269,-123.809,55.6258,-119.45
45,30,53.0501,-93.0933,51.7508,-67.9817
50,30,47.7343,19.7092,52.2943,7.72313
55,30,55.227,73.0741,55.3735,52.0125
60,30,57.5476,95.5292,56.3335,81.6297
65,30,57.3481,112.847,55.5665,108.984
70,30,55.624,126.893,53.8242,138.365
75,30,52.9521,136.416,52.1345,169.647
80,30,50.0203,138.505,51.2041,-164.223
85,30,47.9024,131.21,50.5449,-150.69
90,30,47.3706,119.214,49.457,-151.61
0,35,59.0307,-152.321,58.8662,-142.65
5,35,53.159,-76.5008,54.6499,-82.126
10,35,59.1109,-15.228,57.8516,-22.4078
15,35,61.2267,4.78705,59.5252,4.44848
20,35,59.2245,22.4042,57.647,29.5518
25,35,51.6163,61.2256,52.6265,80.3885
30,35,53.1185,176.17,54.24,160.928
35,35,58.4491,-152.688,57.5453,-161.874
40,35,59.0736,-133.971,57.6218,-135.357
45,35,56.355,-114.677,54.9374,-102.825
50,35,48.8646,-81.1282,51.4449,-44.3009
55,35,46.6453,39.345,53.3543,19.4004
60,35,53.2113,77.1263,55.8287,53.7714
65,35,55.2306,94.0112,56.5639,76.8061
70,35,55.2967,105.553,56.0368,95.6764
75,35,54.3666,112.919,54.7633,111.818
80,35,53.0228,115.9,53.1968,124.259
85,35,51.694,114.817,51.6788,130.395
90,35,50.576,111.284,50.3891,127.379
0,40,58.2306,-153.224,59.5656,-143.439
5,40,52.0752,-83.693,55.2928,-86.9602
10,40,57.7299,-18.1973,58.1932,-26.379
15,40,60.437,1.99991,60.3176,0.371263
20,40,59.4816,17.2674,59.3013,22.0468
25,40,54.3651,40.0548,55.0948,56.8767
30,40,47.4188,138.666,52.9185,134.06
35,40,55.4351,-162.902,57.0045,-176.198
40,40,58.0555,-143.702,58.6027,-150.285
45,40,57.5693,-128.573,57.6872,-126.84
50,40,54.4834,-113.134,54.6745,-95.9221
55,40,47.511,-90.9003,51.5087,-43.1229
60,40,38.6794,24.1045,52.8162,12.0607
65,40,47.7886,75.4073,54.9507,42.3751
70,40,50.6356,89.1875,55.8393,60.2975
75,40,51.2876,97.1425,55.7577,71.9682
80,40,50.9014,101.795,55.0911,78.6986
85,40,49.9551,104.245,54.1374,80.244
90,40,48.6641,106.064,53.1066,75.995
0,45,57.2787,-154.328,60.1527,-144.119
5,45,50.9156,-92.4699,55.8967,-92.6959
10,45,55.9719,-22.0265,58.2654,-31.5945
15,45,59.2975,-1.06365,60.8036,-4.21899
20,45,59.3146,12.5529,60.6269,15.084
25,45,56.2612,27.8643,57.746,39.4278
30,45,48.1753,64.6215,53.1024,92.0325
35,45,49.467,177.39,55.1208,161.171
40,45,55.159,-154.244,58.2224,-166.761
45,45,56.7455,-139.988,58.9899,-146.044
50,45,56.1242,-128.622,57.9049,-126.436
55,45,53.7588,-118.646,55.3093,-102.456
60,45,49.5361,-110.338,52.0804,-66.6077
65,45,42.3048,-106.099,50.9808,-20.5796
70,45,25.6973,-168.659,52.1795,12.1671
75,45,37.3698,112.705,53.1659,29.314
80,45,40.6365,115.641,53.411,37.283
85,45,41.31,124.113,53.0669,38.8002
90,45,41.2506,136.942,52.3106,34.6496
0,50,56.1391,-155.734,60.6413,-144.72
5,50,49.7115,-102.846,56.5023,-99.1419
10,50,53.7177,-27.135,58.0888,-38.4904
15,50,57.6912,-4.46429,60.9482,-9.58563
20,50,58.6113,8.13978,61.5472,8.35217
25,50,57.1461,19.5973,59.9596,26.6002
30,50,52.7954,34.8162,56.1452,55.5811
35,50,42.9626,85.9537,53.0215,116.554
40,50,48.3873,-171.412,56.0233,169.143
45,50,53.1898,-151.058,58.4188,-165.798
50,50,54.7076,-140.277,59.0456,-148.878
55,50,54.5582,-132.439,58.3461,-133.987
60,50,53.3458,-126.856,56.6481,-118.66
65,50,51.4247,-123.904,54.2735,-101.073
70,50,49.1524,-124.42,51.7738,-79.9821
75,50,47.0112,-128.932,49.9424,-57.4626
80,50,45.5384,-136.342,49.0523,-39.9433
85,50,44.9583,-143.856,48.5625,-31.7493
90,50,45.0175,-149.505,47.9801,-32.9624
0,55,54.758,-157.612,61.0418,-145.262
5,55,48.4761,-114.711,57.1394,-106.037
10,55,50.7767,-34.3972,57.7146,-47.6985
15,55,55.4415,-8.33032,60.7075,-16.2008
20,55,57.2201,3.92961,61.9892,1.42002
25,55,57.0064,13.2752,61.5041,16.2911
30,55,54.9799,22.3811,59.3247,33.8954
35,55,50.5716,33.7573,55.53,63.1419
40,55,40.7445,64.5685,53.0446,117.866
45,55,42.6204,-170.728,55.4041,163.871
50,55,48.8526,-150.407,57.6002,-173.053
55,55,51.0999,-142.089,58.4965,-158.696
60,55,51.7339,-136.891,58.4107,-147.809
65,55,51.507,-133.759,57.6457,-138.763
70,55,50.8091,-132.522,56.4442,-131.091
75,55,49.9077,-133.03,55.0235,-124.884
80,55,48.9867,-134.895,53.5812,-120.665
85,55,48.1324,-137.463,52.2701,-119.281
90,55,47.3241,-139.949,51.1681,-121.642
0,60,53.051,-160.293,61.3618,-145.762
5,60,47.1734,-127.962,57.8212,-113.077
10,60,46.82,-45.985,57.2707,-59.9534
15,60,52.2336,-12.9158,60.0406,-24.9333
20,60,54.892,-0.116894,61.8704,-6.3732
25,60,55.7241,8.12911,62.2847,6.96197
30,60,55.212,14.759,61.4371,19.5583
35,60,53.4714,20.5682,59.3852,34.4654
40,60,50.334,25.7149,56.2129,56.669
45,60,45.0147,29.9246,53.1165,94.7921
50,60,32.8591,28.9768,53.2617,139.58
55,60,35.6887,-134.806,55.1438,167.143
60,60,42.3443,-134.266,56.4305,-177.708
65,60,44.6455,-132.331,56.9403,-168.423
70,60,45.4237,-130.765,56.8722,-162.524
75,60,45.4063,-129.643,56.4092,-159.164
80,60,44.9,-128.636,55.6897,-158.14
85,60,44.054,-127.053,54.8119,-159.549
90,60,42.953,-123.761,53.8391,-163.652
0,65,50.8777,-164.486,61.6071,-146.23
5,65,45.694,-142.914,58.5429,-119.967
10,65,41.3422,-69.0104,57.0099,-75.5801
15,65,47.3493,-18.7925,58.9595,-37.3896
20,65,51.1171,-3.79568,61.0934,-16.2341
25,65,52.9427,4.12221,62.2072,-2.81308
30,65,53.5665,9.5582,62.3488,7.77864
35,65,53.3156,13.5715,61.6466,17.6838
40,65,52.3578,16.3436,60.1836,28.3002
45,65,50.8026,17.6548,58.032,41.2371
50,65,48.7268,17.0007,55.3742,58.834
55,65,46.2789,13.4569,52.8659,83.7267
60,65,43.7297,6.04507,51.6864,112.871
65,65,41.5533,-5.32174,51.9023,136.291
70,65,40.252,-18.0206,52.4328,150.533
75,65,39.8664,-27.9082,52.6924,157.891
80,65,40.0528,-33.2256,52.5801,160.433
85,65,40.5393,-34.8597,52.1379,159.141
90,65,41.2023,-34.4645,51.4353,154.321
0,70,47.9966,-172.004,61.7815,-146.675
5,70,43.8771,-161.186,59.2842,-126.474
10,70,36.0504,-126.607,57.2494,-93.4619
15,70,38.0246,-28.346,57.7113,-56.1296
20,70,44.399,-5.13506,59.5932,-30.7133
25,70,47.6184,3.0012,61.1325,-15.1967
30,70,49.3538,7.61211,61.9786,-4.50877
35,70,50.2114,10.5743,62.1906,3.88299
40,70,50.4775,12.3705,61.8676,11.1617
45,70,50.3274,13.1245,61.0963,17.9537
50,70,49.8942,12.8542,59.9552,24.6515
55,70,49.2872,11.5836,58.5253,31.504
60,70,48.6236,9.42952,56.9099,38.7037
65,70,47.9829,6.62793,55.2299,46.1853
70,70,47.4237,3.47455,53.6292,53.5797
75,70,46.9706,0.27458,52.236,60.0804
80,70,46.6151,-2.73383,51.1157,64.6086
85,70,46.3234,-5.41169,50.2572,66.2307
90,70,46.0456,-7.69081,49.6042,64.4948
0,75,44.0881,171.383,61.888,-147.107
5,75,41.7594,172.527,60.0173,-132.449
10,75,38.1257,170.317,58.1071,-110.886
15,75,31.7749,155.023,57.1267,-82.4186
20,75,27.7981,70.2019,57.6985,-55.001
25,75,35.2594,33.4321,58.9844,-35.1519
30,75,39.3398,26.2711,60.1412,-21.8049
35,75,41.7142,23.6178,60.9138,-12.425
40,75,43.183,22.0548,61.2933,-5.40902
45,75,44.0906,20.6948,61.3302,0.0969578
50,75,44.6232,19.2378,61.0826,4.53927
55,75,44.8824,17.45,60.6072,8.13458
60,75,44.9638,15.4824,59.9559,10.9878
65,75,44.9095,13.437,59.1748,13.0933
70,75,44.7435,11.4327,58.3086,14.4059
75,75,44.4744,9.61114,57.3952,14.8328
80,75,44.0975,8.1414,56.4635,14.242
85,75,43.5973,7.23844,55.5311,12.4663
90,75,42.9514,7.20469,54.6022,9.30196
0,80,40.5297,128.899,61.9282,-147.531
5,80,40.7826,131.942,60.7127,-137.833
10,80,41.0159,133.978,59.3651,-125.532
15,80,41.1837,135.005,58.0834,-109.993
20,80,41.264,135.195,57.1897,-91.6016
25,80,41.2447,134.706,56.9341,-72.5985
30,80,41.1225,133.659,57.2316,-55.8474
35,80,40.9035,132.147,57.7688,-42.6706
40,80,40.6031,130.246,58.2859,-32.8299
45,80,40.2459,128.037,58.6556,-25.6007
50,80,39.8634,125.614,58.8372,-20.3467
55,80,39.426,123.207,58.8324,-16.6188
60,80,39.012,120.906,58.6554,-14.1671
65,80,38.6569,118.818,58.3217,-12.848
70,80,38.3985,117.165,57.8502,-12.5963
75,80,38.2685,116.106,57.2573,-13.4151
80,80,38.2906,115.688,56.5566,-15.368
85,80,38.4764,115.812,55.76,-18.5795
90,80,38.821,116.27,54.8811,-23.2407
0,85,43.1116,79.8075,61.9025,-147.955
5,85,43.2008,91.1787,61.3445,-142.625
10,85,43.5366,102.145,60.705,-136.878
15,85,44.052,111.944,59.9997,-130.674
20,85,44.6519,120.281,59.253,-124.018
25,85,45.2557,127.163,58.4947,-116.961
30,85,45.8104,132.745,57.7564,-109.625
35,85,46.2884,137.219,57.067,-102.22
40,85,46.6802,140.765,56.4457,-95.0289
45,85,46.987,143.533,55.8973,-88.3739
50,85,47.2163,145.646,55.4112,-82.5625
55,85,47.3528,147.186,54.9658,-77.8172
60,85,47.4225,148.305,54.5412,-74.2833
65,85,47.4315,148.986,54.1111,-72.1171
70,85,47.3884,149.288,53.6606,-71.3677
75,85,47.2997,149.263,53.184,-72.0601
80,85,47.1694,148.955,52.6857,-74.2088
85,85,46.9992,148.407,52.1791,-77.8144
90,85,46.7881,147.66,51.6868,-82.8453
0,90,47.2329,59.3618,61.8107,-148.384
5,90,46.9313,66.6097,61.8916,-146.865
10,90,46.6655,74.1704,61.9179,-145.492
15,90,46.4468,81.9446,61.8846,-144.272
20,90,46.2885,89.7678,61.7938,-143.209
25,90,46.1944,97.4621,61.6475,-142.306
30,90,46.1538,104.846,61.4455,-141.582
35,90,46.1578,111.789,61.1922,-141.052
40,90,46.1885,118.196,60.8882,-140.723
45,90,46.2316,124.015,60.5366,-140.607
50,90,46.273,129.224,60.1402,-140.718
55,90,46.3004,133.829,59.702,-141.073
60,90,46.3029,137.85,59.2243,-141.697
65,90,46.2722,141.319,58.7091,-142.613
70,90,46.2015,144.28,58.1578,-143.85
75,90,46.0858,146.781,57.5716,-145.436
80,90,45.9214,148.879,56.9513,-147.404
85,90,45.7053,150.635,56.2982,-149.795
90,90,45.4341,152.112,55.6139,-152.657
0,95,50.3155,50.5948,61.6514,-148.827
5,95,50.2561,52.3902,62.34,-150.621
10,95,50.0873,53.8286,62.9089,-152.14
15,95,49.8007,54.9165,63.353,-153.46
20,95,49.3969,55.6416,63.6754,-154.64
25,95,48.8758,55.9896,63.8803,-155.733
30,95,48.2316,55.9555,63.9702,-156.797
35,95,47.4621,55.4845,63.9547,-157.875
40,95,46.5676,54.5515,63.837,-159.009
45,95,45.5472,53.1309,63.6236,-160.235
50,95,44.3979,51.1935,63.321,-161.589
55,95,43.1139,48.7041,62.9353,-163.105
60,95,41.6853,45.6158,62.4724,-164.822
65,95,40.0952,41.8572,61.9375,-166.779
70,95,38.3157,37.3058,61.3354,-169.02
75,95,36.3012,31.7309,60.6701,-171.594
80,95,33.9795,24.666,59.9457,-174.558
85,95,31.2437,15.0926,59.1662,-177.981
90,95,27.9841,0.59697,58.3369,178.057
0,100,52.6192,45.8924,61.422,-149.289
5,100,53.0079,43.1522,62.6771,-153.953
10,100,53.2201,40.1086,63.6474,-157.427
15,100,53.2724,36.6798,64.3443,-160.175
20,100,53.1939,32.8034,64.7899,-162.5
25,100,53.0174,28.4628,65.0064,-164.618
30,100,52.7711,23.698,65.0135,-166.699
35,100,52.49,18.5939,64.8358,-168.862
40,100,52.2031,13.3383,64.4925,-171.219
45,100,51.9257,8.15564,64.0067,-173.854
50,100,51.6591,3.26397,63.4024,-176.831
55,100,51.3931,-1.16728,62.7046,179.808
60,100,51.1114,-5.0414,61.9389,176.045
65,100,50.7969,-8.33548,61.1301,171.885
70,100,50.4356,-11.0859,60.3019,167.356
75,100,50.0173,-13.3678,59.4747,162.5
80,100,49.5354,-15.2751,58.6653,157.366
85,100,48.9847,-16.9022,57.8865,151.988
90,100,48.3595,-18.3285,57.1485,146.377
0,105,54.4142,42.9609,61.1189,-149.78
5,105,55.2906,36.5415,62.8945,-156.926
10,105,55.8682,30.6084,64.13,-161.779
15,105,56.1797,24.7733,64.8814,-165.518
20,105,56.2747,18.7907,65.2056,-168.819
25,105,56.2087,12.5553,65.1489,-172.158
30,105,56.0331,6.10017,64.7521,-175.943
35,105,55.7972,-0.398078,64.0615,179.447
40,105,55.5343,-6.6296,63.1348,173.598
45,105,55.2528,-12.2644,62.0591,166.149
50,105,54.9422,-17.0328,60.9579,156.921
55,105,54.5838,-20.7708,59.9768,146.153
60,105,54.1622,-23.4186,59.2317,134.644
65,105,53.6719,-24.9935,58.7453,123.498
70,105,53.1203,-25.5632,58.4431,113.591
75,105,52.5264,-25.2344,58.2137,105.269
80,105,51.9166,-24.1557,57.9669,98.4585
85,105,51.3185,-22.5228,57.6524,92.9102
90,105,50.7525,-20.5712,57.2555,88.358
0,110,55.8583,40.9423,60.7367,-150.312
5,110,57.2043,31.4926,62.9854,-159.598
10,110,58.0412,23.6354,64.3631,-165.489
15,110,58.4225,16.27,64.9979,-170.14
20,110,58.4316,8.69381,64.9841,-174.764
25,110,58.1676,0.485445,64.3878,179.602
30,110,57.7396,-8.47844,63.2892,171.719
35,110,57.2535,-17.9567,61.8674,159.999
40,110,56.778,-27.343,60.5541,143.163
45,110,56.3149,-35.952,59.9895,122.808
50,110,55.8136,-43.2882,60.3561,104.066
55,110,55.2078,-49.1442,61.147,90.1791
60,110,54.4451,-53.5088,61.8781,80.6409
65,110,53.4973,-56.4133,62.3591,73.9184
70,110,52.3609,-57.8074,62.5614,68.8231
75,110,51.0588,-57.4814,62.5108,64.61
80,110,49.6516,-55.0463,62.2448,60.8358
85,110,48.2635,-50.0441,61.7992,57.247
90,110,47.1032,-42.3514,61.2049,53.7175
0,115,57.0456,39.4515,60.2682,-150.899
5,115,58.8217,27.4626,62.9436,-162.02
10,115,59.7994,18.2004,64.3554,-168.757
15,115,60.0745,9.46102,64.7226,-174.475
20,115,59.7868,-0.2207,64.1662,178.724
25,115,59.134,-11.9388,62.7939,168.283
30,115,58.3995,-26.1057,60.9973,150.319
